"year_","ID","box","box_partner","ep"
2019,"B4H0074",167,187,1
2019,"B4P8620",40,41,1
2019,"B4X1245",80,15,1
2020,"B4X1790",100,92,1
2020,"B4X1641",142,134,1
2020,"B4X1355",197,226,1
2020,"B4P9561",22,81,1
2020,"B4X1887",51,81,1
2020,"B4P9613",259,237,1
2020,"B4X8017",150,127,1
2020,"B4X1062",175,197,1
2020,"B4P9196",230,256,1
2020,"B4X8036",41,61,1
2020,"B4P9191",214,167,1
2020,"B4X1795",83,167,1
2020,"B4P9969",26,27,1
2020,"B4X8839",256,273,1
2020,"B4P9301",37,1,1
2020,"B4X1073",191,188,1
2020,"B4X8839",256,25,1
2020,"B4X1871",165,191,1
2020,"B4P9745",29,28,1
2020,"B4H0857",268,262,1
2020,"B4X1093",243,262,1
2020,"B4X1404",247,248,1
2020,"B4H0937",134,142,1
2020,"B4P9615",140,142,1
2020,"B4X1131",145,251,1
2020,"B4P8425",170,171,1
2020,"B4P8246",246,265,1
2020,"B4X8841",224,245,1
2020,"B4P8569",200,180,1
2020,"B4X1062",175,180,1
2020,"B4P9464",226,243,1
2020,"B4X8826",99,152,1
2020,"B4X8581",21,22,1
2020,"B4P9328",111,18,1
2020,"B4X8785",17,18,1
2020,"B4X1879",250,241,1
2020,"B4X8236",113,112,1
2020,"B4X1285",213,235,1
