"ID","transponder","sex"
"B2V8830","0A0524B43A6F0001",2
"B2V8831","D8CEC4B43A6F0001",2
"B2V8832","FF3924B43A6F0001",1
"B2V8833","E5F524B43A6F0001",2
"B2V8835","9346C4B43A6F0001",1
"B2V8836","513AC4B43A6F0001",2
"B2V8837","A9E924B43A6F0001",1
"B2V8838","C26AC4B43A6F0001",2
"B2V8840","620924B43A6F0001",1
"B2V8841","745224B43A6F0001",2
"B2V8842","7B6CE7D001AF0001",1
"B2V8843","36CEC4B43A6F0001",2
"B2V8844","3A76C4B43A6F0001",2
"B2V8845","5D6CE7D001AF0001",1
"B2V8851","768196A801AF0001",1
"B2V8901","BE76C4B43A6F0001",2
"B2V8924","7BF224B43A6F0001",2
"B2V8925","1C2DC4B43A6F0001",1
"B2V8926","64D524B43A6F0001",2
"B2V8927","DC3124B43A6F0001",2
"B2V8928","3B72C4B43A6F0001",2
"B2V8929","E516C4B43A6F0001",2
"B2V8930","E5AAC4B43A6F0001",2
"B2V8931","E392C4B43A6F0001",1
"B2V8932","05B9C4B43A6F0001",2
"B2V8933","C7A924B43A6F0001",2
"B2V8934","F1B6C4B43A6F0001",1
"B2V8935","ECCEC4B43A6F0001",2
"B2V8936","371D24B43A6F0001",1
"B2V8937","A06924B43A6F0001",2
"B2V8938","DBB524B43A6F0001",1
"B2V8952","5A05C4B43A6F0001",1
"B2V8960","4016C4B43A6F0001",1
"B2V8961","D9E6C4B43A6F0001",1
"B2V8962","606AC4B43A6F0001",1
"B2V8963","9A3524B43A6F0001",1
"B2V8964","2572C4B43A6F0001",2
"B2V8965","330DC4B43A6F0001",2
"B2V8966","D50D24B43A6F0001",1
"B2V8967","31BEC4B43A6F0001",2
"B2V8968","3F0D24B43A6F0001",2
"B2V8969","334924B43A6F0001",2
"B2V8970","B446C4B43A6F0001",1
"B2V8971","960524B43A6F0001",1
"B2V8972","C046C4B43A6F0001",2
"B2V8973","F20924B43A6F0001",2
"B2V8974","AB16C4B43A6F0001",1
"B2V8975","FB3AC4B43A6F0001",1
"B2V8976","DE0D24B43A6F0001",1
"B2V8977","1FDAC4B43A6F0001",2
"B2V8978","EF9924B43A6F0001",2
"B2V8979","D8F524B43A6F0001",2
"B2V8980","784D24B43A6F0001",1
"B2V8981","FC7924B43A6F0001",1
"B2V8982","18C924B43A6F0001",1
"B2V8983","FCC524B43A6F0001",2
"B2V8984","021EC4B43A6F0001",2
"B2V8985","B94924B43A6F0001",1
"B2V8986","6DED24B43A6F0001",1
"B2V8987","9F6524B43A6F0001",1
"B2V8988","6AF524B43A6F0001",1
"B2V8989","2CCEC4B43A6F0001",2
"B2V8990","B0F2C4B43A6F0001",2
"B2V8991","BB4EC4B43A6F0001",2
"B2V8992","DF6524B43A6F0001",1
"B2V8993","066AC4B43A6F0001",1
"B2V8994","629924B43A6F0001",2
"B2V8995","984EC4B43A6F0001",2
"B2V8996","55C524B43A6F0001",1
"B2V8997","09B224B43A6F0001",1
"B2V8998","3F4924B43A6F0001",2
"B2V8999","7F2A24B43A6F0001",2
"B2X3006","708524B43A6F0001",2
"B2X3006","6C0196A801AF0001",2
"B2X3006","DD0196A801AF0001",2
"B2X3013","E85924B43A6F0001",1
"B2X3019","2A9DC4B43A6F0001",2
"B2X3020","B416C4B43A6F0001",1
"B2X3021","95F524B43A6F0001",1
"B2X3022","F11924B43A6F0001",2
"B2X3023","A0E524B43A6F0001",1
"B2X3024","FDCD24B43A6F0001",1
"B2X3025","31CEC4B43A6F0001",2
"B2X3026","127524B43A6F0001",1
"B2X3026","9DCD24B43A6F0001",1
"B2X3027","150524B43A6F0001",1
"B2X3028","3712C4B43A6F0001",1
"B2X3030","8946C4B43A6F0001",1
"B2X3032","04A741F9C66F0001",1
"B2X3033","E86741F9C66F0001",2
"B2X3034","372741F9C66F0001",2
"B2X3035","972741F9C66F0001",1
"B2X3036","646741F9C66F0001",2
"B2X3037","F52741F9C66F0001",2
"B2X3038","A92741F9C66F0001",1
"B2X3039","3DA741F9C66F0001",2
"B2X3040","81A741F9C66F0001",1
"B2X3040","6BDAC4B43A6F0001",1
"B2X3041","7A6741F9C66F0001",2
"B2X3042","A22741F9C66F0001",1
"B2X3043","6EA741F9C66F0001",2
"B2X3045","FEA741F9C66F0001",1
"B2X3046","D86741F9C66F0001",2
"B2X3047","61A741F9C66F0001",2
"B2X3048","D7A741F9C66F0001",1
"B2X3049","1FA741F9C66F0001",1
"B2X3051","412741F9C66F0001",2
"B2X3052","2C2741F9C66F0001",1
"B2X3053","A5A741F9C66F0001",2
"B2X3054","34A741F9C66F0001",1
"B2X3055","CE2741F9C66F0001",2
"B2X3056","B22741F9C66F0001",2
"B2X3057","06A741F9C66F0001",2
"B2X3058","472741F9C66F0001",1
"B2X3059","522741F9C66F0001",2
"B2X3061","A6A741F9C66F0001",2
"B2X3062","A06741F9C66F0001",2
"B2X3064","C46741F9C66F0001",1
"B2X3065","35A741F9C66F0001",2
"B2X3066","3BA741F9C66F0001",2
"B2X3067","B7A741F9C66F0001",2
"B2X3068","5C6741F9C66F0001",2
"B2X3069","1A6741F9C66F0001",2
"B2X3070","726741F9C66F0001",2
"B2X3071","966741F9C66F0001",1
"B2X3072","126741F9C66F0001",1
"B2X3072","1465C4B43A6F0001",1
"B2X3073","A26741F9C66F0001",2
"B2X3074","AC6741F9C66F0001",1
"B2X3075","E66741F9C66F0001",2
"B2X3076","E16741F9C66F0001",2
"B2X3077","A46741F9C66F0001",2
"B2X3078","926741F9C66F0001",2
"B2X3079","616741F9C66F0001",2
"B2X3080","7C6741F9C66F0001",2
"B2X3081","6F6741F9C66F0001",1
"B2X3082","70E741F9C66F0001",2
"B2X3083","016741F9C66F0001",2
"B2X3084","506741F9C66F0001",2
"B2X3085","5A6741F9C66F0001",1
"B2X3086","566741F9C66F0001",1
"B2X3086","D1B224B43A6F0001",1
"B2X3086","5005C4B43A6F0001",1
"B2X3087","F46741F9C66F0001",1
"B2X3088","F06741F9C66F0001",2
"B2X3089","F66741F9C66F0001",2
"B2X3090","18E741F9C66F0001",2
"B2X3091","E2E741F9C66F0001",1
"B2X3092","14E741F9C66F0001",1
"B2X3093","2F6741F9C66F0001",2
"B2X3094","D46741F9C66F0001",2
"B2X3095","626741F9C66F0001",1
"B2X3096","77A741F9C66F0001",2
"B2X3096","FEED24B43A6F0001",2
"B2X3097","586741F9C66F0001",2
"B2X3098","846741F9C66F0001",1
"B2X3099","37A741F9C66F0001",2
"B2X3099","1F4924B43A6F0001",2
"B2X3099","9C0524B43A6F0001",2
"B2X3100","386741F9C66F0001",1
"B2X3101","65A741F9C66F0001",1
"B2X3102","2AA741F9C66F0001",2
"B2X3103","F6A741F9C66F0001",2
"B2X3104","22A741F9C66F0001",1
"B2X3105","AB2741F9C66F0001",1
"B2X3106","26A741F9C66F0001",2
"B2X3107","1DA741F9C66F0001",2
"B2X3108","C4A741F9C66F0001",1
"B2X3109","F92741F9C66F0001",2
"B2X3110","09A741F9C66F0001",1
"B2X3111","6A2741F9C66F0001",2
"B2X3112","55A741F9C66F0001",2
"B2X3113","ECA741F9C66F0001",1
"B2X3114","812741F9C66F0001",2
"B2X3115","BEA741F9C66F0001",2
"B2X3116","0A2741F9C66F0001",2
"B2X3117","F4A741F9C66F0001",2
"B2X3118","BFA741F9C66F0001",2
"B2X3119","952741F9C66F0001",1
"B2X3120","896741F9C66F0001",2
"B2X3121","622741F9C66F0001",2
"B2X3122","5C2741F9C66F0001",2
"B2X3123","DC2741F9C66F0001",1
"B2X3124","2E2741F9C66F0001",1
"B2X3125","EC2741F9C66F0001",1
"B2X3126","662741F9C66F0001",2
"B2X3127","112741F9C66F0001",1
"B2X3128","FA2741F9C66F0001",2
"B2X3129","B62741F9C66F0001",2
"B2X3130","F16741F9C66F0001",1
"B2X3131","45A741F9C66F0001",1
"B2X3132","6B2741F9C66F0001",1
"B2X3133","C62741F9C66F0001",2
"B2X3134","152741F9C66F0001",1
"B2X3135","E32741F9C66F0001",1
"B2X3136","A62741F9C66F0001",2
"B2X3137","922741F9C66F0001",2
"B2X3138","FE2741F9C66F0001",1
"B2X3139","3C2741F9C66F0001",2
"B2X3140","CA2741F9C66F0001",1
"B2X3141","BD6741F9C66F0001",1
"B2X3142","562741F9C66F0001",2
"B2X3143","4E2741F9C66F0001",2
"B2X3144","492741F9C66F0001",1
"B2X3145","D62741F9C66F0001",2
"B2X3146","212741F9C66F0001",2
"B2X3147","DD6741F9C66F0001",2
"B2X3148","4CE741F9C66F0001",2
"B2X3149","166741F9C66F0001",1
"B2X3150","EDA741F9C66F0001",1
"B2X3151","426741F9C66F0001",1
"B2X3152","96A741F9C66F0001",1
"B2X3153","9FEDC4B43A6F0001",2
"B2X3153","9DA741F9C66F0001",2
"B2X3154","7AA741F9C66F0001",2
"B2X3155","79A741F9C66F0001",1
"B2X3156","56A741F9C66F0001",1
"B2X3157","CC6741F9C66F0001",2
"B2X3158","DF6741F9C66F0001",2
