"ID","ageFirstCap","season","k","age"
"B2V8605",0,2013,3,2
"B2V8605",0,2014,4,2
"B2V8605",0,2015,5,2
"B2V8605",0,2016,6,2
"B2V8605",0,2017,7,2
"B2V8605",0,2018,8,2
"B2V8605",0,2019,9,2
"B2V8605",0,2020,10,2
"B2V8606",0,2011,1,0
"B2V8606",0,2012,2,1
"B2V8606",0,2013,3,2
"B2V8606",0,2014,4,2
"B2V8606",0,2015,5,2
"B2V8606",0,2016,6,2
"B2V8606",0,2017,7,2
"B2V8606",0,2018,8,2
"B2V8606",0,2019,9,2
"B2V8606",0,2020,10,2
"B2V8607",0,2011,1,0
"B2V8607",0,2012,2,1
"B2V8607",0,2013,3,2
"B2V8607",0,2014,4,2
"B2V8607",0,2015,5,2
"B2V8607",0,2016,6,2
"B2V8607",0,2017,7,2
"B2V8607",0,2018,8,2
"B2V8607",0,2019,9,2
"B2V8607",0,2020,10,2
"B2V8608",0,2011,1,0
"B2V8608",0,2012,2,1
"B2V8608",0,2013,3,2
"B2V8608",0,2014,4,2
"B2V8608",0,2015,5,2
"B2V8608",0,2016,6,2
"B2V8608",0,2017,7,2
"B2V8608",0,2018,8,2
"B2V8608",0,2019,9,2
"B2V8608",0,2020,10,2
"B2V8609",0,2011,1,0
"B2V8609",0,2012,2,1
"B2V8609",0,2013,3,2
"B2V8609",0,2014,4,2
"B2V8609",0,2015,5,2
"B2V8609",0,2016,6,2
"B2V8609",0,2017,7,2
"B2V8609",0,2018,8,2
"B2V8609",0,2019,9,2
"B2V8609",0,2020,10,2
"B2V8610",0,2011,1,0
"B2V8610",0,2012,2,1
"B2V8610",0,2013,3,2
"B2V8610",0,2014,4,2
"B2V8610",0,2015,5,2
"B2V8610",0,2016,6,2
"B2V8610",0,2017,7,2
"B2V8610",0,2018,8,2
"B2V8610",0,2019,9,2
"B2V8610",0,2020,10,2
"B2V8611",0,2011,1,0
"B2V8611",0,2012,2,1
"B2V8611",0,2013,3,2
"B2V8611",0,2014,4,2
"B2V8611",0,2015,5,2
"B2V8611",0,2016,6,2
"B2V8611",0,2017,7,2
"B2V8611",0,2018,8,2
"B2V8611",0,2019,9,2
"B2V8611",0,2020,10,2
"B2V8612",0,2011,1,0
"B2V8612",0,2012,2,1
"B2V8612",0,2013,3,2
"B2V8612",0,2014,4,2
"B2V8612",0,2015,5,2
"B2V8612",0,2016,6,2
"B2V8612",0,2017,7,2
"B2V8612",0,2018,8,2
"B2V8612",0,2019,9,2
"B2V8612",0,2020,10,2
"B2V8613",0,2011,1,0
"B2V8613",0,2012,2,1
"B2V8613",0,2013,3,2
"B2V8613",0,2014,4,2
"B2V8613",0,2015,5,2
"B2V8613",0,2016,6,2
"B2V8613",0,2017,7,2
"B2V8613",0,2018,8,2
"B2V8613",0,2019,9,2
"B2V8613",0,2020,10,2
"B2V8614",0,2011,1,0
"B2V8614",0,2012,2,1
"B2V8614",0,2013,3,2
"B2V8614",0,2014,4,2
"B2V8614",0,2015,5,2
"B2V8614",0,2016,6,2
"B2V8614",0,2017,7,2
"B2V8614",0,2018,8,2
"B2V8614",0,2019,9,2
"B2V8614",0,2020,10,2
"B2V8615",0,2011,1,0
"B2V8615",0,2012,2,1
"B2V8615",0,2013,3,2
"B2V8615",0,2014,4,2
"B2V8615",0,2015,5,2
"B2V8615",0,2016,6,2
"B2V8615",0,2017,7,2
"B2V8615",0,2018,8,2
"B2V8615",0,2019,9,2
"B2V8615",0,2020,10,2
"B2V8616",0,2011,1,0
"B2V8616",0,2012,2,1
