"ID","sex"
"B2X3037",2
"B2X3038",1
"X01004008",2
"X02004008",1
"X03004008",1
"B2X3982",1
"B2X3983",2
"B2X3984",2
"B2X3985",2
"B2X3986",1
"B2X3987",2
"B2X3988",1
"B2X3989",1
"B2X3090",2
"X01004108",1
"X02004108",1
"X03004108",1
"B2X3247",2
"B2X3248",1
"B2X3249",2
"B2X3250",2
"B2X3251",1
"B2X3252",2
"B2X3253",1
"B2X3254",1
"B2X3574",2
"B2X3075",2
"B2X3455",2
"B2X3456",1
"B2X3457",1
"B2X3458",1
"B2X3459",1
"B2X3460",2
"B2X3461",2
"B2X3462",2
"B2X3463",1
"B2X3464",1
"B2X3310",2
"B2X3311",2
"B2X3312",2
"B2X3313",2
"B2X3314",2
"B2X3315",1
"B2X3316",1
"B2X3317",1
"B2X3318",1
"B2X3319",2
"X02005608",1
"X03005608",2
"X04005608",1
"X05005608",2
"X06005608",1
"X07005608",2
"X08005608",1
"X09005608",1
"X10005608",2
"X11005608",1
"X15005608",1
"X16005608",1
"B2X3495",1
"B2X3050",1
"B2X3051",2
"B2X3052",1
"B2X3053",2
"B2X3054",1
"B2X3055",2
"B2X3056",2
"B2X3057",2
"B2X3058",1
"B2X3059",2
"B2X3497",2
"B2X3498",1
"B2X3230",1
"B2X3231",2
"B2X3232",1
"B2X3233",2
"B2X3234",1
"B2X3235",2
"B2X3236",1
"B2X3061",2
"B2X3083",2
"B2X3770",2
"B2X3771",2
"B2X3772",1
"B2X3773",1
"B2X3774",2
"B2X3775",2
"B2X3776",2
"B2X3777",1
"B2X3778",2
"B2X3779",1
"B2X3780",1
"B2V8439",2
"X01007108",2
"B2X3294",2
"B2X3295",1
"B2X3296",2
"B2X3297",1
"B2X3298",1
"B2X3299",1
"B2X3300",1
"B2X3990",2
"B2X3991",2
"B2X3992",2
"B2X3993",2
"B2X3994",2
"B2X3995",2
"B2X3996",1
"B2X3997",2
"B2X3998",2
"B2X3999",1
"B2X4000",2
"B2X3080",2
"B2V8446",1
"B2X3575",2
"B2X3576",1
"B2X3577",2
"B2X3578",2
"B2X3579",2
"B2X3580",1
"B2X3581",1
"B2X3582",2
"B2X3583",2
"X01007508",1
"B2X3099",2
"B2X3335",2
"B2X3336",1
"B2X3337",2
"B2X3338",2
"B2X3339",1
"B2X3340",1
"B2X3341",1
"B2X3342",1
"B2X3343",1
"B2X3067",2
"B2X3715",2
"B2X3716",2
"B2X3717",2
"B2X3718",2
"B2X3719",2
"B2X3720",2
"B2X3721",2
"B2X3722",1
"B2X3723",1
"B2X3724",2
"B2X3725",1
"B2X3726",1
"B2X3344",1
"B2X3345",2
"B2X3346",2
"B2X3347",1
"B2X3348",1
"B2X3349",2
"B2X3350",1
"B2X3351",2
"B2X3352",1
"B2X3353",2
"B2X3036",2
"B2X3973",2
"B2X3974",1
"B2X3975",2
"B2X3976",2
"B2X3977",1
"B2X3978",1
"B2X3979",2
"B2X3980",2
"B2X3981",1
"B2X3584",2
"B2X3585",2
"B2X3586",2
"B2X3587",2
"B2X3588",2
"B2X3589",2
"B2X3590",2
"B2X3591",1
"B2X3592",1
"B2X3593",2
"X01010108",2
"X05010108",1
"X07010108",2
"X08010108",2
"X09010108",2
"X10010108",2
"X01010408",2
"B2X3215",1
"B2X3216",2
